ATAR Range
56.35 102.39 102.46
56.30 102.32 102.38
56.25 102.25 102.31
56.20 102.19 102.24
56.15 102.14 102.18
56.10 102.07 102.13
56.05 101.99 102.06
56.00 101.94 101.98
55.95 101.87 101.93
ATAR Range
55.90 101.81 101.86
55.85 101.75 101.80
55.80 101.67 101.74
55.75 101.60 101.66
55.70 101.53 101.59
55.65 101.46 101.52
55.60 101.41 101.45
55.55 101.34 101.40
55.50 101.30 101.33
55.45 101.25 101.29
55.40 101.17 101.24
55.35 101.12 101.16
55.30 101.05 101.11
55.25 100.98 101.04
55.20 100.91 100.97
55.15 100.82 100.90
55.10 100.78 100.81
55.05 100.71 100.77
55.00 100.64 100.70
54.95 100.56 100.63
54.90 100.50 100.55
54.85 100.44 100.49
54.80 100.35 100.43
54.75 100.28 100.34
54.70 100.21 100.27
54.65 100.15 100.20
54.60 100.07 100.14
54.55 100.00 100.06
54.50 99.95 99.99
54.45 99.88 99.94
54.40 99.80 99.87
54.35 99.74 99.79
54.30 99.68 99.73
54.25 99.63 99.67
ATAR Range
54.20 99.56 99.62
54.15 99.46 99.55
54.10 99.37 99.45
54.05 99.31 99.36
54.00 99.26 99.30
53.95 99.21 99.25
53.90 99.15 99.20
53.85 99.08 99.14
53.80 99.01 99.07
53.75 98.95 99.00
53.70 98.89 98.94
53.65 98.82 98.88
53.60 98.75 98.81
53.55 98.66 98.74
53.50 98.60 98.65
53.45 98.54 98.59
53.40 98.47 98.53
53.35 98.39 98.46
53.30 98.33 98.38
53.25 98.25 98.32
53.20 98.19 98.24
53.15 98.11 98.18
53.10 98.04 98.10
53.05 98.00 98.03
53.00 97.95 97.99
52.95 97.90 97.94
52.90 97.85 97.89
52.85 97.79 97.84
52.80 97.74 97.78
52.75 97.65 97.73
52.70 97.56 97.64
52.65 97.48 97.55
52.60 97.42 97.47
52.55 97.36 97.41
ATAR Range
52.50 97.30 97.35
52.45 97.22 97.29
52.40 97.16 97.21
52.35 97.11 97.15
52.30 97.05 97.10
52.25 96.98 97.04
52.20 96.94 96.97
52.15 96.89 96.93
52.10 96.83 96.88
52.05 96.77 96.82
52.00 96.70 96.76
51.95 96.64 96.69
51.90 96.57 96.63
51.85 96.51 96.56
51.80 96.45 96.50
51.75 96.40 96.44
51.70 96.33 96.39
51.65 96.28 96.32
51.60 96.19 96.27
51.55 96.10 96.18
51.50 96.04 96.09
51.45 95.98 96.03
51.40 95.92 95.97
51.35 95.86 95.91
51.30 95.81 95.85
51.25 95.74 95.80
51.20 95.66 95.73
51.15 95.58 95.65
51.10 95.52 95.57
51.05 95.46 95.51
51.00 95.40 95.45
50.95 95.31 95.39
50.90 95.26 95.30
50.85 95.20 95.25
ATAR Range
50.80 95.12 95.19
50.75 95.05 95.11
50.70 94.99 95.04
50.65 94.95 94.98
50.60 94.89 94.94
50.55 94.83 94.88
50.50 94.77 94.82
50.45 94.71 94.76
50.40 94.65 94.70
50.35 94.59 94.64
50.30 94.52 94.58
50.25 94.47 94.51
50.20 94.38 94.46
50.15 94.31 94.37
50.10 94.21 94.30
50.05 94.13 94.20
50.00 94.06 94.12
49.95 93.99 94.05
49.90 93.93 93.98
49.85 93.87 93.92
49.80 93.80 93.86
49.75 93.72 93.79
49.70 93.66 93.71
49.65 93.60 93.65
49.60 93.53 93.59
49.55 93.45 93.52
49.50 93.41 93.44
49.45 93.34 93.40
49.40 93.28 93.33
49.35 93.23 93.27
49.30 93.18 93.22
49.25 93.12 93.17
49.20 93.06 93.11
49.15 92.99 93.05 
ATAR Range
49.10 92.93 92.98
49.05 92.86 92.92
49.00 92.82 92.85
48.95 92.77 92.81
48.90 92.68 92.76
48.85 92.62 92.67
48.80 92.55 92.61
48.75 92.50 92.54
48.70 92.42 92.49
48.65 92.33 92.41
48.60 92.26 92.32
48.55 92.18 92.25
48.50 92.09 92.17
48.45 92.03 92.08
48.40 91.95 92.02
48.35 91.88 91.94
48.30 91.81 91.87
48.25 91.74 91.80
48.20 91.68 91.73
48.15 91.61 91.67
48.10 91.56 91.60
48.05 91.50 91.55
48.00 91.42 91.49
47.95 91.35 91.41
47.90 91.28 91.34
47.85 91.20 91.27
47.80 91.12 91.19
47.75 91.06 91.11
47.70 90.97 91.05
47.65 90.94 90.96
47.60 90.87 90.93
47.55 90.79 90.86
47.50 90.74 90.78
47.45 90.67 90.73
ATAR Range
47.40 90.60 90.66
47.35 90.56 90.59
47.30 90.49 90.55
47.25 90.43 90.48
47.20 90.37 90.42
47.15 90.31 90.36
47.10 90.22 90.30
47.05 90.15 90.21
47.00 90.08 90.14
46.95 90.01 90.07
46.90 89.96 90.00
46.85 89.88 89.95
46.80 89.82 89.87
46.75 89.77 89.81
46.70 89.72 89.76
46.65 89.66 89.71
46.60 89.58 89.65
46.55 89.52 89.57
46.50 89.45 89.51
46.45 89.39 89.44
46.40 89.32 89.38
46.35 89.27 89.31
46.30 89.19 89.26
46.25 89.14 89.18
46.20 89.08 89.13
46.15 89.01 89.07
46.10 88.93 89.00
46.05 88.87 88.92
46.00 88.79 88.86
45.95 88.72 88.78
45.90 88.66 88.71
45.85 88.59 88.65
45.80 88.51 88.58
45.75 88.45 88.50
ATAR Range
45.70 88.38 88.44
45.65 88.34 88.37
45.60 88.24 88.33
45.55 88.14 88.23
45.50 88.07 88.13
45.45 88.01 88.06
45.40 87.95 88.00
45.35 87.90 87.94
45.30 87.84 87.89
45.25 87.75 87.83
45.20 87.69 87.74
45.15 87.64 87.68
45.10 87.56 87.63
45.05 87.50 87.55
45.00 87.44 87.49
44.95 87.35 87.43
44.90 87.27 87.34
44.85 87.19 87.26
44.80 87.15 87.18
44.75 87.06 87.14
44.70 87.00 87.05
44.65 86.96 86.99
44.60 86.88 86.95
44.55 86.80 86.87
44.50 86.72 86.79
44.45 86.65 86.71
44.40 86.59 86.64
44.35 86.53 86.58
44.30 86.46 86.52
44.25 86.39 86.45
44.20 86.34 86.38
44.15 86.29 86.33
44.10 86.22 86.28
44.05 86.16 86.21
ATAR Range
44.00 86.08 86.15
43.95 86.00 86.07
43.90 85.94 85.99
43.85 85.89 85.93
43.80 85.81 85.88
43.75 85.72 85.80
43.70 85.64 85.71
43.65 85.56 85.63
43.60 85.48 85.55
43.55 85.43 85.47
43.50 85.36 85.42
43.45 85.29 85.35
43.40 85.22 85.28
43.35 85.16 85.21
43.30 85.09 85.15
43.25 85.01 85.08
43.20 84.94 85.00
43.15 84.86 84.93
43.10 84.78 84.85
43.05 84.68 84.77
43.00 84.62 84.67
42.95 84.56 84.61
42.90 84.46 84.55
42.85 84.41 84.45
42.80 84.34 84.40
